,gz_totalPrice,gz_unitPrice,gz_title,gz_area,gz_beds,gz_rooms,gz_toward,gz_renovation,gz_positionInfo
130,233.0,29125,panyu,80,2,2,南,1,18
131,248.0,25541,panyu,97.1,3,2,东,1,9
132,130.0,21488,panyu,60.5,2,1,南,0,7
133,188.0,27607,panyu,68.1,2,1,西,1,7
134,126.0,20656,panyu,61,2,1,南,0,7
135,360.0,26251,panyu,137.14,3,2,南,1,11
136,260.0,24905,panyu,104.4,3,2,北,1,7
137,211.0,27403,panyu,77,2,1,北,0,18
138,305.0,33931,panyu,89.89,2,1,北,1,25
139,125.0,24607,panyu,50.8,2,2,南,1,4
140,145.0,16309,panyu,88.91,3,1,南,0,7
141,265.0,22281,panyu,118.94,3,2,南,1,23
142,333.0,24335,panyu,136.84,3,1,南,0,11
143,195.0,21429,panyu,91,3,2,西,0,9
144,245.0,30315,panyu,80.82,2,2,南,1,17
145,128.0,25099,panyu,51,2,1,北,1,4
146,345.0,32123,panyu,107.4,3,2,南,1,24
147,255.0,24879,panyu,102.5,3,2,东,1,7
148,260.0,25366,panyu,102.5,3,2,西,0,7
149,240.0,24743,panyu,97,3,2,南,1,28
150,128.0,27177,baiyun,47.1,2,1,东,0,9
151,286.0,35101,baiyun,81.48,3,1,东,0,12
152,110.0,27154,baiyun,40.51,2,1,南,1,9
153,240.0,33469,baiyun,71.71,2,1,东,0,27
154,212.0,35613,baiyun,59.53,2,1,东,0,27
155,62.5,10328,baiyun,60.52,2,1,南,1,6
156,465.0,42517,baiyun,109.37,3,2,南,1,18
157,140.0,20589,baiyun,68,2,1,东,0,9
158,130.0,23693,baiyun,54.87,2,1,南,0,8
159,425.0,41347,baiyun,102.79,3,2,东,1,25
160,58.0,17907,baiyun,32.39,2,1,西,0,8
161,460.0,48947,baiyun,93.98,3,1,西,1,18
162,112.0,27834,baiyun,40.24,2,1,南,0,8
163,165.0,24148,baiyun,68.33,2,1,西,1,6
164,123.0,25382,baiyun,48.46,2,1,南,0,7
165,103.0,19008,baiyun,54.19,2,1,东,0,8
166,206.0,31581,baiyun,65.23,2,2,西,0,9
167,230.0,33819,baiyun,68.01,2,1,南,0,18
168,155.0,23854,baiyun,64.98,2,1,东,0,9
169,103.0,20927,baiyun,49.22,2,1,南,0,9
170,370.0,39104,baiyun,94.62,3,1,南,1,14
171,285.0,31090,baiyun,91.67,2,1,北,1,29
172,233.0,34683,baiyun,67.18,2,2,东,1,9
173,83.0,29814,baiyun,27.84,1,0,南,0,18
174,155.0,25261,baiyun,61.36,2,1,东,0,9
175,165.0,33770,baiyun,48.86,2,1,东,0,16
176,188.0,29463,baiyun,63.81,2,1,东,1,8
177,136.0,32228,baiyun,42.2,2,1,北,1,9
178,470.0,42884,baiyun,109.6,3,2,南,1,16
179,103.0,29015,baiyun,35.5,2,1,东,1,7
180,193.0,31413,huangpu,61.44,2,1,东,0,9
181,230.0,42389,huangpu,54.26,2,1,东,0,9
182,110.0,32593,huangpu,33.75,1,0,北,1,33
183,1600.0,80536,huangpu,198.67,4,2,西,1,30
184,128.0,27177,huangpu,47.1,2,1,东,0,9
185,780.0,33402,huangpu,233.52,4,2,东,1,33
186,200.0,24097,huangpu,83,2,2,东,0,7
187,268.0,35264,huangpu,76,2,2,南,1,25
188,135.0,18177,huangpu,74.27,2,2,北,毛坯,18
189,330.0,52406,huangpu,62.97,2,1,东,0,9
190,140.0,25783,huangpu,54.3,2,2,南,0,3
191,185.0,19619,huangpu,94.3,3,2,东,1,9
192,250.0,29762,huangpu,84,2,2,南,1,4
193,135.0,15021,huangpu,89.88,3,2,南,毛坯,32
194,108.0,21622,huangpu,49.95,1,1,南,1,21
195,200.0,18442,huangpu,108.45,3,2,南,1,6
196,299.0,41305,huangpu,72.39,3,1,北,1,13
197,368.0,50508,huangpu,72.86,2,1,东,0,8
198,218.0,47382,huangpu,46.01,1,1,南,0,8
199,56.0,8737,huangpu,64.1,2,2,西,1,6
200,175.0,35469,huangpu,49.34,2,1,东,1,9
201,158.0,17025,huangpu,92.81,3,2,北,1,35
202,156.0,24209,huangpu,64.44,2,1,北,0,9
203,98.0,19620,huangpu,49.95,1,1,南,1,21
204,286.0,35101,huangpu,81.48,3,1,东,0,12
205,235.0,36520,huangpu,64.35,2,1,东,1,16
206,110.0,27154,huangpu,40.51,2,1,南,1,9
207,165.0,25661,huangpu,64.3,2,1,南,1,9
208,128.0,15422,huangpu,83,2,2,北,1,14
209,380.0,51096,huangpu,74.37,2,1,南,0,8
210,145.0,13844,conghua,104.74,3,2,南,1,28
211,230.0,16024,conghua,143.54,4,2,南,0,2
212,157.0,13274,conghua,118.28,3,2,西,1,27
213,145.0,12366,conghua,117.26,4,2,南,0,6
214,250.0,13917,conghua,179.64,4,2,南,0,2
215,166.0,12754,conghua,130.16,3,2,东,毛坯,26
216,105.0,10464,conghua,100.35,3,2,东,1,18
217,120.0,13549,conghua,88.57,2,2,南,毛坯,12
218,117.0,13416,conghua,87.21,2,2,南,1,6
219,95.0,11341,conghua,83.77,2,2,东,0,10
220,125.0,11010,conghua,113.54,3,2,东,毛坯,26
221,137.0,14934,conghua,91.74,3,2,东,1,12
222,120.0,13349,conghua,89.9,3,1,东,1,6
223,95.0,12056,conghua,78.8,3,2,南,毛坯,6
224,203.5,18433,conghua,110.4,3,2,西,1,24
225,92.0,10953,conghua,84,2,2,南,毛坯,17
226,137.0,13604,conghua,100.71,3,2,南,0,28
227,85.0,8619,conghua,98.63,3,2,南,1,18
228,118.0,13112,conghua,90,3,2,南,1,6
229,123.0,14087,conghua,87.32,3,2,北,1,9
230,85.0,11402,conghua,74.55,3,2,南,0,7
231,127.0,14500,conghua,87.59,3,2,东,1,27
232,36.5,6444,conghua,56.65,1,0,东,1,16
233,128.0,12454,conghua,102.78,3,2,东,毛坯,15
234,110.0,12151,conghua,90.53,3,2,东,1,18
235,138.0,13664,conghua,101,3,2,东,1,28
236,155.0,12917,conghua,120,3,1,西,0,27
237,138.0,13703,conghua,100.71,3,2,西,1,28
238,145.0,12990,conghua,111.63,3,1,南,1,17
239,150.0,13463,conghua,111.42,3,2,东,1,28
240,135.0,18177,zengcheng,74.27,2,2,北,毛坯,18
241,108.0,21622,zengcheng,49.95,1,1,南,1,21
242,98.0,19620,zengcheng,49.95,1,1,南,1,21
243,128.0,15422,zengcheng,83,2,2,北,1,14
244,55.0,15069,zengcheng,36.5,1,1,西,0,7
245,177.0,18731,zengcheng,94.5,3,2,北,1,32
246,136.0,20972,zengcheng,64.85,2,1,南,1,17
247,185.0,21975,zengcheng,84.19,2,2,西,1,28
248,178.0,18051,zengcheng,98.61,3,2,东,1,32
249,255.0,19958,zengcheng,127.77,3,2,南,1,32
250,199.0,18719,zengcheng,106.31,3,2,南,1,18
251,95.0,8495,zengcheng,111.84,3,1,南,0,7
252,122.0,15834,zengcheng,77.05,2,2,东,毛坯,18
253,187.0,21470,zengcheng,87.1,2,2,南,1,22
254,133.9,16926,zengcheng,79.11,2,2,东,0,6
255,84.0,10074,zengcheng,83.39,2,1,西,0,6
256,110.0,21347,zengcheng,51.53,1,2,西,0,18
257,136.0,15323,zengcheng,88.76,2,1,南,0,6
258,135.0,15385,zengcheng,87.75,2,2,北,0,11
259,138.0,11495,zengcheng,120.06,3,2,南,毛坯,19
260,62.0,9376,zengcheng,66.13,2,1,北,1,7
261,230.0,24265,zengcheng,94.79,3,2,东,1,33
262,143.0,12419,zengcheng,115.15,3,2,东,1,26
263,152.0,13397,zengcheng,113.46,3,2,东,0,8
264,170.0,18314,zengcheng,92.83,3,2,东,0,7
265,325.0,22270,zengcheng,145.94,3,2,南,1,25
266,96.0,9489,zengcheng,101.18,3,2,南,0,7
267,160.0,16667,zengcheng,96,3,2,北,1,18
268,155.0,19077,zengcheng,81.25,2,2,北,1,32
269,178.0,15104,zengcheng,117.85,3,2,东,毛坯,32
270,193.0,31413,huadu,61.44,2,1,东,0,9
271,230.0,42389,huadu,54.26,2,1,东,0,9
272,110.0,32593,huadu,33.75,1,0,北,1,33
273,1600.0,80536,huadu,198.67,4,2,西,1,30
274,128.0,27177,huadu,47.1,2,1,东,0,9
275,780.0,33402,huadu,233.52,4,2,东,1,33
276,200.0,24097,huadu,83,2,2,东,0,7
277,268.0,35264,huadu,76,2,2,南,1,25
278,135.0,18177,huadu,74.27,2,2,北,毛坯,18
279,330.0,52406,huadu,62.97,2,1,东,0,9
280,140.0,25783,huadu,54.3,2,2,南,0,3
281,185.0,19619,huadu,94.3,3,2,东,1,9
282,250.0,29762,huadu,84,2,2,南,1,4
283,135.0,15021,huadu,89.88,3,2,南,毛坯,32
284,108.0,21622,huadu,49.95,1,1,南,1,21
285,200.0,18442,huadu,108.45,3,2,南,1,6
286,299.0,41305,huadu,72.39,3,1,北,1,13
287,368.0,50508,huadu,72.86,2,1,东,0,8
288,218.0,47382,huadu,46.01,1,1,南,0,8
289,56.0,8737,huadu,64.1,2,2,西,1,6
290,175.0,35469,huadu,49.34,2,1,东,1,9
291,158.0,17025,huadu,92.81,3,2,北,1,35
292,156.0,24209,huadu,64.44,2,1,北,0,9
293,98.0,19620,huadu,49.95,1,1,南,1,21
294,286.0,35101,huadu,81.48,3,1,东,0,12
295,235.0,36520,huadu,64.35,2,1,东,1,16
296,110.0,27154,huadu,40.51,2,1,南,1,9
297,165.0,25661,huadu,64.3,2,1,南,1,9
298,128.0,15422,huadu,83,2,2,北,1,14
299,380.0,51096,huadu,74.37,2,1,南,0,8
300,135.0,15021,nansha,89.88,3,2,南,毛坯,32
301,165.0,20371,nansha,81,2,1,南,1,11
302,120.0,20271,nansha,59.2,2,1,西,1,6
303,230.0,24531,nansha,93.76,3,2,东,1,28
304,92.0,14384,nansha,63.96,2,1,东,1,6
305,190.0,22536,nansha,84.31,2,2,东,1,31
306,152.0,22721,nansha,66.9,3,2,北,1,22
307,120.0,15183,nansha,79.04,2,2,南,0,32
308,250.0,28090,nansha,89,3,2,东,0,33
309,280.0,26558,nansha,105.43,3,2,南,1,32
310,298.0,24990,nansha,119.25,3,2,东,毛坯,28
311,263.0,21711,nansha,121.14,3,2,南,1,18
312,213.0,23930,nansha,89.01,2,2,北,1,31
313,160.0,19936,nansha,80.26,2,2,南,1,15
314,210.0,16694,nansha,125.8,4,2,东,1,18
315,116.0,17907,nansha,64.78,2,2,南,1,10
316,272.0,19904,nansha,136.66,3,2,南,1,25
317,170.0,18086,nansha,94,3,2,南,0,4
318,213.0,21029,nansha,101.29,3,1,南,0,25
319,318.0,22187,nansha,143.33,4,2,南,0,18
320,165.0,19808,nansha,83.3,2,2,南,0,8
321,147.0,25624,nansha,57.37,2,1,南,1,6
322,218.0,23281,nansha,93.64,3,2,南,0,18
323,219.0,22813,nansha,96,3,2,南,1,11
324,225.0,24031,nansha,93.63,3,2,南,毛坯,28
325,253.0,27176,nansha,93.1,3,2,东,1,26
326,192.0,23178,nansha,82.84,3,2,南,0,18
327,130.0,19421,nansha,66.94,2,1,西,1,18
328,189.9,20420,nansha,93,3,2,南,1,10
329,112.0,19747,nansha,56.72,2,1,北,毛坯,18
330,220.0,24720,nanhai,89,3,1,南,1,48
331,235.0,18972,nanhai,123.87,3,2,西,1,17
332,190.0,19588,nanhai,97,3,2,东,0,17
333,220.0,22681,nanhai,97,3,2,东,0,31
334,180.0,19502,nanhai,92.3,3,2,西,1,9
335,195.0,24684,nanhai,79,2,1,东,1,26
336,248.0,20447,nanhai,121.29,4,2,东,1,16
337,240.0,23991,nanhai,100.04,3,2,西,1,33
338,125.0,17868,nanhai,69.96,2,2,东,1,16
339,132.0,18727,nanhai,70.49,2,1,东,1,16
340,220.0,20371,nanhai,108,3,2,东,1,6
341,150.0,19296,nanhai,77.74,2,2,西,1,18
342,188.0,19382,nanhai,97,3,2,东,1,17
343,248.0,27322,nanhai,90.77,3,2,东,1,45
344,195.0,22414,nanhai,87,3,2,西,1,30
345,175.0,20871,nanhai,83.85,3,2,东,0,30
346,220.0,24176,nanhai,91,3,2,西,1,32
347,185.0,16518,nanhai,112,3,2,北,1,9
348,70.0,8472,nanhai,82.63,2,1,东,毛坯,30
349,239.8,20218,nanhai,118.61,4,3,东,1,12
350,248.0,20667,nanhai,120,3,2,东,1,16
351,145.0,17470,nanhai,83,2,1,西,1,9
352,128.8,17620,nanhai,73.1,2,2,北,1,16
353,135.0,19498,nanhai,69.24,2,2,东,0,6
354,150.0,18073,nanhai,83,2,1,东,1,23
355,290.0,24787,nanhai,117,3,2,南,1,33
356,247.0,24935,nanhai,99.06,3,2,西,1,33
357,137.0,17814,nanhai,76.91,2,2,南,1,18
358,138.0,18400,nanhai,75,3,2,南,1,18
359,115.0,14545,nanhai,79.07,3,2,西,0,7
360,140.0,13107,shunde,106.82,3,2,南,0,6
361,90.0,13314,shunde,67.6,2,2,南,1,6
362,90.0,13314,shunde,67.6,2,2,南,0,4
363,190.0,20880,shunde,91,3,2,北,1,6
364,130.0,16050,shunde,81,3,2,北,1,6
365,135.0,12518,shunde,107.85,3,2,东,0,6
366,112.0,14737,shunde,76,2,1,南,1,6
367,170.0,16289,shunde,104.37,3,2,南,0,6
368,300.0,28038,shunde,107,3,2,南,0,1
369,315.0,33158,tianhe,95,3,1,东,1,18
370,510.0,56367,tianhe,90.48,3,1,西,1,31
371,328.0,36694,tianhe,89.39,2,2,东,1,18
372,760.0,70254,tianhe,108.18,3,2,南,0,29
373,550.0,68264,tianhe,80.57,3,2,东,1,31
374,475.0,50043,tianhe,94.92,3,2,东,1,31
375,615.0,56542,tianhe,108.77,3,2,东,0,31
376,285.0,31551,tianhe,90.33,3,2,西,1,9
377,515.0,56594,tianhe,91,3,2,西,1,29
378,309.0,46932,tianhe,65.84,2,2,北,1,18
379,355.0,44977,tianhe,78.93,2,1,西,1,18
380,950.0,53237,tianhe,178.45,3,2,南,1,30
381,315.0,40416,tianhe,77.94,2,2,东,0,11
382,365.0,36684,tianhe,99.5,3,2,北,1,7
383,260.0,35568,tianhe,73.1,3,1,东,0,9
384,190.0,33084,tianhe,57.43,2,1,北,0,12
385,300.0,35537,tianhe,84.42,2,2,西,0,19
386,430.0,44067,tianhe,97.58,3,2,北,0,26
387,570.0,57252,tianhe,99.56,3,2,南,1,18
388,276.0,43139,tianhe,63.98,2,1,东,1,26
389,446.0,40761,tianhe,109.42,3,2,东,0,17
390,130.0,30431,tianhe,42.72,1,1,北,0,9
391,186.0,31747,tianhe,58.59,2,1,北,0,9
392,160.0,38096,tianhe,42,1,1,西,1,6
393,415.0,49791,tianhe,83.35,3,2,南,1,17
394,230.0,34370,tianhe,66.92,2,2,北,0,12
395,298.0,39047,tianhe,76.32,3,2,北,1,12
396,439.0,43518,tianhe,100.88,3,2,东,0,11
397,185.0,32930,tianhe,56.18,2,1,东,1,9
398,360.0,41764,tianhe,86.2,3,2,北,0,9
399,180.0,45651,yuexiu,39.43,1,1,东,1,8
400,220.0,31564,yuexiu,69.7,2,1,东,0,9
401,257.0,54140,yuexiu,47.47,3,1,北,1,7
402,495.0,64420,yuexiu,76.84,3,1,南,1,9
403,285.0,59375,yuexiu,48,2,1,北,1,18
404,250.0,40757,yuexiu,61.34,2,1,南,0,6
405,225.0,35157,yuexiu,64,3,1,西,1,9
406,189.0,29523,yuexiu,64.02,2,1,北,0,6
407,245.0,39974,yuexiu,61.29,2,1,东,0,9
408,600.0,57340,yuexiu,104.64,3,2,北,1,31
409,165.0,27811,yuexiu,59.33,2,1,东,0,6
410,198.0,48841,yuexiu,40.54,3,1,南,1,1
411,300.0,37689,yuexiu,79.6,3,1,东,0,9
412,180.0,30000,yuexiu,60,2,1,东,0,9
413,128.0,29548,yuexiu,43.32,1,1,南,1,37
414,63.0,41722,yuexiu,15.1,1,1,东,1,5
415,960.0,70771,yuexiu,135.65,4,2,东,0,5
416,165.0,41562,yuexiu,39.7,1,1,南,1,7
417,340.0,39641,yuexiu,85.77,3,2,东,1,8
418,258.0,42936,yuexiu,60.09,2,2,南,1,8
419,265.0,39075,yuexiu,67.82,2,1,东,0,8
420,225.0,36886,yuexiu,61,2,1,东,0,9
421,342.0,43523,yuexiu,78.58,3,1,南,0,9
422,250.0,64103,yuexiu,39,2,2,东,0,9
423,112.0,21593,yuexiu,51.87,2,1,东,0,8
424,555.0,51807,yuexiu,107.13,3,2,东,0,21
425,530.0,65962,yuexiu,80.35,2,2,东,0,18
426,800.0,55173,yuexiu,145,4,1,东,1,30
427,410.0,62122,yuexiu,66,3,2,南,0,8
428,230.0,37829,yuexiu,60.8,3,1,南,1,6
429,395.0,37480,liwan,105.39,3,2,东,1,20
430,135.0,30101,liwan,44.85,2,1,东,0,6
431,165.0,29116,liwan,56.67,2,1,东,1,10
432,400.0,41680,liwan,95.97,3,1,东,1,37
433,415.0,32336,liwan,128.34,3,2,南,1,32
434,112.0,26705,liwan,41.94,2,1,东,0,9
435,405.0,45825,liwan,88.38,3,2,北,1,26
436,220.0,27880,liwan,78.91,3,2,西,0,22
437,238.0,39680,liwan,59.98,2,2,东,1,11
438,137.0,26091,liwan,52.51,2,1,西,0,8
439,175.0,29275,liwan,59.78,1,1,北,0,9
440,396.0,40766,liwan,97.14,3,2,西,1,18
441,360.0,32448,liwan,110.95,3,2,东,1,32
442,275.0,35122,liwan,78.3,2,1,南,1,19
443,195.0,26957,liwan,72.34,2,1,南,0,9
444,180.0,31758,liwan,56.68,2,1,东,0,9
445,353.0,39389,liwan,89.62,3,2,北,0,34
446,400.0,35399,liwan,113,3,2,西,1,18
447,385.0,34751,liwan,110.79,3,2,北,0,33
448,270.0,36477,liwan,74.02,2,2,南,0,18
449,168.0,26880,liwan,62.5,3,2,南,0,9
450,150.0,29989,liwan,50.02,1,1,西,0,12
451,495.0,52238,liwan,94.76,3,1,西,1,33
452,340.0,40390,liwan,84.18,2,2,东,1,33
453,230.0,35621,liwan,64.57,2,1,东,1,9
454,438.0,43800,liwan,100,4,1,西,1,37
455,280.0,29947,liwan,93.5,3,2,东,0,12
456,380.0,36483,liwan,104.16,3,2,西,1,18
457,110.0,19539,liwan,56.3,2,1,东,0,6
458,225.0,41475,liwan,54.25,2,1,北,1,9
459,259.0,38190,haizhu,67.82,2,1,南,0,26
460,475.0,40885,haizhu,116.18,3,2,南,1,32
461,355.0,46834,haizhu,75.8,2,2,北,0,13
462,188.0,34867,haizhu,53.92,3,1,西,0,24
463,90.0,22500,haizhu,40,2,1,东,0,6
464,120.0,29711,haizhu,40.39,2,1,东,0,6
465,180.0,35665,haizhu,50.47,2,1,北,0,8
466,515.0,57344,haizhu,89.81,3,2,南,1,28
467,720.0,44254,haizhu,162.7,4,2,南,1,11
468,140.0,30967,haizhu,45.21,1,1,南,0,7
469,286.0,38134,haizhu,75,2,1,东,其他,9
470,270.0,37242,haizhu,72.5,2,1,西,1,9
471,390.0,43004,haizhu,90.69,3,2,南,1,23
472,320.0,40517,haizhu,78.98,2,2,东,1,32
473,172.0,28244,haizhu,60.9,2,1,东,0,8
474,150.0,31257,haizhu,47.99,2,1,南,1,9
475,215.0,37457,haizhu,57.4,2,1,西,0,12
476,240.0,37378,haizhu,64.21,2,1,东,1,12
477,260.0,37497,haizhu,69.34,2,2,东,0,22
478,260.0,38928,haizhu,66.79,2,1,东,0,32
479,435.0,48877,haizhu,89,3,2,东,1,13
480,510.0,49645,haizhu,102.73,3,2,南,0,11
481,240.0,39025,haizhu,61.5,2,1,东,1,9
482,285.0,49566,haizhu,57.5,2,1,东,0,33
483,410.0,37992,haizhu,107.92,3,2,东,1,18
484,320.0,36778,haizhu,87.01,3,1,东,0,30
485,158.0,21157,haizhu,74.68,2,2,南,0,9
486,330.0,45904,haizhu,71.89,2,2,北,0,11
487,238.0,35208,haizhu,67.6,2,1,西,0,18
488,290.0,40640,haizhu,71.36,2,2,南,0,32
489,200.0,25285,panyu,79.1,3,1,西,1,16
490,360.0,38528,panyu,93.44,3,2,南,0,33
491,152.0,18053,panyu,84.2,3,2,南,0,8
492,107.0,25784,panyu,41.5,1,1,西,1,16
493,365.0,38474,panyu,94.87,3,2,东,1,8
494,320.0,32777,panyu,97.63,3,2,南,0,6
495,305.0,31938,panyu,95.5,3,2,东,1,11
496,430.0,34525,panyu,124.55,3,2,西,1,11
497,263.0,22811,panyu,115.3,3,2,北,1,7
498,180.0,25246,panyu,71.3,2,1,西,0,6
499,285.0,36348,panyu,78.41,2,1,南,1,24
500,192.0,23617,panyu,81.3,2,1,东,1,28
501,190.0,24341,panyu,78.06,2,2,北,毛坯,11
